Source,Earthquake ID,Version,Datetime,Magnitude,Depth,Number of Stations,Region,Location
nc,nc72215961,,05/05/2014 05:15:00 AM,0.5,0,7,"2km WNW of The Geysers, California",
nc,nc72215965,,05/11/2014 09:34:09 AM,0.5,2.3,8,"6km NW of The Geysers, California",
nc,nc72215966,,05/05/2014 05:21:43 AM,0.5,4.1,8,"4km NW of The Geysers, California",
nc,nc72215970,,05/11/2014 09:58:55 AM,0.2,2.7,12,"6km WNW of Cobb, California",
nc,nc72215975,,05/11/2014 10:23:07 AM,0.2,3.7,21,"5km NW of The Geysers, California",
nc,nc72215980,,05/11/2014 10:32:48 AM,1,0.9,14,"7km W of Cobb, California",
nc,nc72215981,,05/05/2014 05:52:56 AM,1.47,10.37,30,"28km ENE of King City, California",
nc,nc72215995,,05/11/2014 11:08:04 AM,0.5,1.9,8,"4km WNW of Cobb, California",
nc,nc72215996,,05/05/2014 06:18:30 AM,0.2,8.6,10,"2km ESE of Mammoth Lakes, California",
nc,nc72216005,,05/11/2014 11:28:25 AM,1.1,3.3,15,"3km E of The Geysers, California",
nc,nc72216006,,05/05/2014 07:09:54 AM,0.9,1.4,7,"6km WSW of Middletown, California",
nc,nc72216011,,05/05/2014 07:26:13 AM,0.5,1.2,8,"5km NNW of The Geysers, California",
nc,nc72216020,,05/11/2014 12:10:39 PM,0.4,4.5,16,"10km ENE of Cloverdale, California",
nc,nc72216021,,05/05/2014 07:48:44 AM,0.76,8.18,21,"2km E of Mammoth Lakes, California",
nc,nc72216025,,05/11/2014 12:11:52 PM,1.8,2.6,39,"15km SW of Lakeport, California",
nc,nc72216026,,05/05/2014 07:51:50 AM,1.4,8.6,38,"3km W of Los Osos, California",
nc,nc72216030,,05/11/2014 12:13:16 PM,0.6,3.7,13,"6km WNW of The Geysers, California",
nc,nc72216031,,05/05/2014 08:00:40 AM,0.6,2,8,"2km ENE of The Geysers, California",
nc,nc72216036,,05/05/2014 08:17:57 AM,1.6,11.5,40,"23km SSE of Carmel Valley Village, California",
nc,nc72216040,,05/11/2014 12:17:04 PM,0.2,4.9,15,"8km ENE of Mammoth Lakes, California",
nc,nc72216041,,05/05/2014 08:52:26 AM,0.5,1.3,10,"2km WNW of Cobb, California",
nc,nc72216045,,05/11/2014 12:22:43 PM,1,4.7,31,"10km ENE of Cloverdale, California",
nc,nc72216046,,05/05/2014 09:26:49 AM,0.2,7.4,11,"2km ESE of Mammoth Lakes, California",
nc,nc72216050,,05/11/2014 12:34:21 PM,1,1.7,13,"0km N of The Geysers, California",
nc,nc72216051,,05/05/2014 09:49:05 AM,0.2,7.7,13,"2km ESE of Mammoth Lakes, California",
nc,nc72216056,,05/05/2014 10:04:59 AM,0.3,7.5,18,"2km ESE of Mammoth Lakes, California",
nc,nc72216061,,05/05/2014 10:19:57 AM,1.79,6.77,38,"13km WSW of Firebaugh, California",
nc,nc72216065,,05/11/2014 02:17:14 AM,0.6,6.5,17,"17km SSE of Mammoth Lakes, California",
nc,nc72216071,,05/05/2014 11:01:35 AM,1.3,2.4,44,"3km W of Cobb, California",
nc,nc72216085,,05/11/2014 02:53:48 AM,0.4,1.7,7,"4km WNW of Cobb, California",
nc,nc72216086,,05/05/2014 11:16:42 AM,0.5,1.8,7,"7km E of Mammoth Lakes, California",
nc,nc72216090,,05/11/2014 03:08:10 AM,1.1,8.6,18,"7km S of Lakeport, California",
nc,nc72216091,,05/05/2014 11:41:14 AM,1.7,6.9,33,"2km ESE of Mammoth Lakes, California",
nc,nc72216095,,05/11/2014 03:32:34 AM,0.6,7,15,"21km SE of Ridgemark, California",
nc,nc72216101,,05/05/2014 11:58:20 AM,1.2,4.2,31,"23km SW of Coalinga, California",
nc,nc72216106,,05/05/2014 12:10:27 PM,0.8,7.5,23,"2km ESE of Mammoth Lakes, California",
nc,nc72216111,,05/05/2014 12:38:48 PM,0.46,4.87,7,"9km WNW of Cobb, California",
nc,nc72216116,,05/05/2014 01:01:25 AM,0.93,3.05,11,"3km SE of The Geysers, California",
nc,nc72216120,,05/11/2014 04:28:02 AM,0.3,2.5,8,"1km N of The Geysers, California",
nc,nc72216121,,05/05/2014 01:03:54 AM,0.3,8,9,"2km ESE of Mammoth Lakes, California",
nc,nc72216126,,05/05/2014 01:09:42 AM,1.9,6.8,58,"31km WNW of San Simeon, California",
nc,nc72216130,,05/11/2014 04:52:54 AM,0.3,4.6,8,"29km WNW of Chester, California",
nc,nc72216131,,05/05/2014 01:24:31 AM,0.12,7.1,11,"2km ESE of Mammoth Lakes, California",
nc,nc72216135,,05/11/2014 05:01:01 AM,1.6,7.2,51,"6km NNE of Corralitos, California",
nc,nc72216140,,05/11/2014 05:23:31 AM,1.37,2.79,49,"3km W of Cobb, California",
nc,nc72216141,,05/05/2014 01:56:19 AM,0.2,3.5,16,"7km NW of The Geysers, California",
nc,nc72216146,,05/05/2014 02:42:59 AM,0.7,7.14,19,"1km ESE of Mammoth Lakes, California",
nc,nc72216155,,05/11/2014 06:01:54 AM,0.55,4.41,12,"8km ENE of Mammoth Lakes, California",
nc,nc72216156,,05/05/2014 03:09:27 AM,1.7,10.8,13,"2km S of Laytonville, California",
nc,nc72216160,,05/11/2014 06:34:33 AM,0.6,2.7,7,"5km WNW of Cobb, California",
nc,nc72216161,,05/05/2014 03:36:51 AM,0.3,6.7,18,"1km ESE of Mammoth Lakes, California",
nc,nc72216165,,05/11/2014 06:37:22 AM,0.39,4.13,22,"6km WNW of The Geysers, California",
nc,nc72216166,,05/05/2014 03:46:51 AM,0.9,2.7,20,"1km NNW of The Geysers, California",
nc,nc72216170,,05/11/2014 07:30:56 AM,0.7,2.7,7,"9km WNW of Cobb, California",
nc,nc72216171,,05/05/2014 04:06:03 AM,1.08,7.77,24,"9km NE of San Martin, California",
nc,nc72216175,,05/11/2014 08:15:04 AM,1.2,0.2,9,"24km NE of Big Pine, California",
nc,nc72216181,,05/05/2014 04:45:14 AM,1,1.6,9,"5km E of The Geysers, California",
nc,nc72216186,,05/05/2014 05:05:07 AM,0.5,3.9,10,"5km NW of The Geysers, California",
nc,nc72216191,,05/05/2014 05:59:51 AM,0.9,2.3,12,"6km WNW of Cobb, California",
nc,nc72216195,,05/11/2014 08:56:40 AM,0.5,4,9,"1km NW of The Geysers, California",
nc,nc72216196,,05/05/2014 06:00:53 AM,0.56,2.9,8,"7km WNW of Cobb, California",
nc,nc72216205,,05/11/2014 09:28:35 AM,1.2,8.1,17,"31km NE of Oakhurst, California",
nc,nc72216206,,05/04/2014 07:16:55 AM,0.3,5.8,7,"14km NNE of McCloud, California",
nc,nc72216210,,05/11/2014 09:37:14 AM,1.7,15.8,24,"31km NE of Oakhurst, California",
nc,nc72216211,,05/05/2014 06:22:05 AM,1.1,1.7,33,"3km SSE of The Geysers, California",
nc,nc72216216,,05/05/2014 06:22:13 AM,1.4,0,9,"11km E of Quarry near Portola Valley, CA",
nc,nc72216225,,05/11/2014 09:59:16 AM,1.7,5.6,38,"21km WSW of Los Banos, California",
nc,nc72216230,,05/11/2014 10:14:07 AM,0.6,6.5,12,"17km SE of Mammoth Lakes, California",
nc,nc72216236,,05/04/2014 08:33:45 AM,1.44,1.14,17,"8km NNE of Burney, California",
nc,nc72216246,,05/05/2014 06:41:55 AM,0.6,1.8,8,"3km WNW of Cobb, California",
nc,nc72216250,,05/12/2014 12:00:56 PM,0.2,4.1,16,"7km ENE of Mammoth Lakes, California",
nc,nc72216251,,05/05/2014 06:42:06 AM,0.5,2.8,7,"2km SE of The Geysers, California",
nc,nc72216255,,05/12/2014 12:17:26 PM,0.5,4,11,"4km NW of The Geysers, California",
nc,nc72216256,,05/05/2014 06:48:31 AM,0.8,3,22,"8km NW of The Geysers, California",
nc,nc72216260,,05/12/2014 12:18:52 PM,1.4,3.6,51,"5km NW of The Geysers, California",
nc,nc72216265,,05/12/2014 12:26:27 PM,0.8,5.5,7,"0km ENE of Ladera, California",
nc,nc72216266,,05/05/2014 06:55:50 AM,1.1,0,24,"2km SSE of Quarry near Aromas, CA",
nc,nc72216270,,05/12/2014 01:11:20 AM,0.8,2.8,14,"6km NW of The Geysers, California",
nc,nc72216271,,05/05/2014 07:26:02 AM,0.2,6.8,11,"1km E of Mammoth Lakes, California",
nc,nc72216275,,05/12/2014 01:14:43 AM,3.7,7.5,27,"9km SE of Chester, California",
nc,nc72216280,,05/12/2014 01:17:08 AM,2.8,4.7,24,"10km SE of Chester, California",
nc,nc72216281,,05/05/2014 07:32:20 AM,0.8,1.6,7,"3km SSE of The Geysers, California",
nc,nc72216291,,05/05/2014 07:52:01 AM,0.4,2.6,8,"7km WNW of Cobb, California",
nc,nc72216295,,05/12/2014 01:33:54 AM,0.9,2.7,14,"9km WNW of Cobb, California",
nc,nc72216306,,05/05/2014 08:39:19 AM,1.1,1.8,19,"1km N of The Geysers, California",
nc,nc72216315,,05/12/2014 02:28:45 AM,0.31,1.15,12,"2km WNW of Cobb, California",
nc,nc72216316,,05/05/2014 09:26:09 AM,1.97,7.32,51,"29km ENE of King City, California",
nc,nc72216320,,05/12/2014 02:38:56 AM,0.7,7.5,28,"4km NNW of Hollister, California",
nc,nc72216325,,05/12/2014 02:42:46 AM,2.1,2.5,14,"21km W of Chester, California",
nc,nc72216330,,05/12/2014 02:58:22 AM,0.6,3.1,12,"7km W of Cobb, California",
nc,nc72216331,,05/05/2014 10:41:52 AM,2,13,22,"17km SSE of McCloud, California",
nc,nc72216335,,05/12/2014 03:26:13 AM,0.7,2.9,10,"3km E of The Geysers, California",
nc,nc72216340,,05/12/2014 03:57:53 AM,0.81,3.08,18,"6km W of Cobb, California",
nc,nc72216341,,05/05/2014 11:05:43 AM,1.1,4.5,22,"1km NW of The Geysers, California",
nc,nc72216345,,05/12/2014 04:09:56 AM,0.9,1.9,8,"9km NW of The Geysers, California",
nc,nc72216350,,05/12/2014 04:13:59 AM,1.4,3.4,48,"4km E of The Geysers, California",
nc,nc72216356,,05/05/2014 11:23:26 AM,0.2,3.1,15,"5km WNW of The Geysers, California",
nc,nc72216370,,05/12/2014 04:19:28 AM,1.4,9.1,17,"12km N of McCloud, California",
nc,nc72216375,,05/12/2014 04:31:24 AM,0.5,3.2,11,"6km W of Cobb, California",
nc,nc72216385,,05/12/2014 04:48:33 AM,0.5,7.3,17,"16km SSE of Mammoth Lakes, California",
nc,nc72216386,,05/06/2014 12:55:44 PM,1.9,11.5,62,"1km NNW of Day Valley, California",
nc,nc72216390,,05/12/2014 04:53:29 AM,0.4,2.9,6,"6km W of Cobb, California",
nc,nc72216395,,05/12/2014 04:54:03 AM,0.9,3.5,22,"6km W of Cobb, California",
nc,nc72216396,,05/06/2014 01:34:49 AM,1,2.5,19,"7km WNW of Cobb, California",
nc,nc72216405,,05/12/2014 05:02:11 AM,0.2,3.7,21,"5km NW of The Geysers, California",
nc,nc72216406,,05/06/2014 02:01:30 AM,1.9,7.1,21,"11km ENE of Angwin, California",
nc,nc72216411,,05/06/2014 02:04:20 AM,1.3,6.1,11,"11km ENE of Angwin, California",
nc,nc72216415,,05/12/2014 05:27:50 AM,0.6,3.6,8,"7km WNW of The Geysers, California",
nc,nc72216421,,05/06/2014 02:45:04 AM,1.18,7.49,26,"4km NNE of San Leandro, California",
nc,nc72216425,,05/12/2014 05:30:41 AM,0.8,2.5,15,"9km WNW of Cobb, California",
nc,nc72216426,,05/06/2014 02:47:17 AM,0.9,10,12,"7km NNW of West Bishop, California",
nc,nc72216431,,05/06/2014 03:10:31 AM,0.9,1.1,11,"2km WNW of Cobb, California",
nc,nc72216436,,05/06/2014 03:15:04 AM,1,2.7,42,"1km NNW of The Geysers, California",
nc,nc72216441,,05/06/2014 03:15:25 AM,0.9,1.2,10,"2km WNW of Cobb, California",
nc,nc72216446,,05/06/2014 03:15:43 AM,0.3,2.4,5,"2km WNW of Cobb, California",
nc,nc72216450,,05/12/2014 06:05:41 AM,1.2,7.5,16,"13km N of McCloud, California",
nc,nc72216451,,05/06/2014 03:25:06 AM,0.3,2.6,6,"7km WNW of Cobb, California",
nc,nc72216455,,05/12/2014 06:11:37 AM,1.3,7.5,15,"13km N of McCloud, California",
nc,nc72216456,,05/06/2014 03:23:42 AM,0.7,1.1,15,"2km WNW of Cobb, California",
nc,nc72216460,,05/12/2014 06:21:26 AM,1.1,6.9,12,"13km N of McCloud, California",
nc,nc72216461,,05/06/2014 03:41:15 AM,1.3,6.7,31,"18km SE of Mammoth Lakes, California",
nc,nc72216465,,05/12/2014 06:28:07 AM,1.2,7.5,12,"13km N of McCloud, California",
nc,nc72216466,,05/06/2014 03:49:06 AM,0.9,2.1,11,"1km NE of The Geysers, California",
nc,nc72216470,,05/12/2014 06:37:12 AM,1,6.5,15,"13km N of McCloud, California",
nc,nc72216471,,05/06/2014 03:49:25 AM,0.9,1.3,14,"2km W of Cobb, California",
nc,nc72216476,,05/06/2014 03:59:30 AM,1.2,1,10,"2km WNW of Cobb, California",
nc,nc72216481,,05/06/2014 04:04:37 AM,1.5,8.5,18,"9km SSE of Chester, California",
nc,nc72216485,,05/12/2014 06:51:12 AM,0.3,2.9,26,"5km WNW of Cobb, California",
nc,nc72216490,,05/12/2014 07:00:16 AM,1.4,7.6,13,"13km N of McCloud, California",
nc,nc72216495,,05/12/2014 07:10:07 AM,1.2,5.7,10,"8km E of Gilroy, California",
nc,nc72216496,,05/06/2014 04:13:18 AM,0.9,7.5,24,"2km ESE of Mammoth Lakes, California",
nc,nc72216506,,05/06/2014 04:37:20 AM,0.9,2.5,21,"6km NW of The Geysers, California",
nc,nc72216511,,05/06/2014 04:44:35 AM,0.9,3.1,20,"6km NW of The Geysers, California",
nc,nc72216515,,05/12/2014 08:27:04 AM,0.5,3.5,11,"7km NW of The Geysers, California",
nc,nc72216520,,05/12/2014 08:30:11 AM,1.2,2.6,22,"3km W of Cobb, California",
nc,nc72216521,,05/06/2014 05:07:52 AM,0.4,1.1,8,"8km E of Mammoth Lakes, California",
nc,nc72216526,,05/06/2014 05:11:51 AM,1.2,5.1,32,"7km NE of Interlaken, California",
nc,nc72216531,,05/06/2014 05:28:14 AM,1.5,4.4,55,"16km N of Shandon, California",
nc,nc72216536,,05/06/2014 05:59:05 AM,1,3.1,18,"5km WNW of The Geysers, California",
nc,nc72216541,,05/06/2014 05:58:16 AM,0.3,5.6,12,"5km E of Mammoth Lakes, California",
nc,nc72216546,,05/06/2014 06:30:25 AM,1,9.1,20,"30km W of Coalinga, California",
nc,nc72216551,,05/06/2014 06:37:35 AM,2.93,24.54,43,"88km WNW of Bayview, California",
nc,nc72216556,,05/06/2014 06:49:57 AM,1.5,0,42,"9km WSW of Atascadero, California",
nc,nc72216561,,05/06/2014 06:53:14 AM,1.7,8.4,46,"30km NE of Soledad, California",
nc,nc72216566,,05/06/2014 06:55:00 AM,1,4,40,"6km NW of The Geysers, California",
nc,nc72216571,,05/06/2014 06:59:41 AM,1.8,0.4,29,"22km SW of Patterson, California",
nc,nc72216576,,05/06/2014 07:04:47 AM,0.5,2.1,8,"2km SSW of Cobb, California",
nc,nc72216581,,05/06/2014 07:30:19 AM,1.7,7.7,35,"21km NE of Soledad, California",
nc,nc72216591,,05/06/2014 08:04:25 AM,1.5,4.3,22,"39km WSW of Mendota, California",
nc,nc72216601,,05/06/2014 08:37:55 AM,2.8,24.4,35,"88km WNW of Bayview, California",
nc,nc72216606,,05/06/2014 09:08:56 AM,0.2,5.7,9,"13km SE of Mammoth Lakes, California",
nc,nc72216611,,05/06/2014 09:16:47 AM,0.6,2.5,8,"6km NW of The Geysers, California",
nc,nc72216616,,05/06/2014 09:30:00 AM,1.55,10.05,12,"9km SE of Laytonville, California",
nc,nc72216621,,05/06/2014 09:37:28 AM,2,23.3,16,"4km SW of Rio Dell, California",
nc,nc72216626,,05/06/2014 09:53:03 AM,1.5,6,10,"20km SSW of Willits, California",
nc,nc72216636,,05/06/2014 10:10:36 AM,0.9,6.4,16,"8km SW of Kelseyville, California",
nc,nc72216641,,05/06/2014 10:20:48 AM,0.5,2.5,11,"9km NW of The Geysers, California",
nc,nc72216645,,05/12/2014 11:45:05 AM,2,2.3,65,"8km NW of The Geysers, California",
nc,nc72216646,,05/06/2014 10:21:37 AM,1,2.4,23,"9km NW of The Geysers, California",
nc,nc72216650,,05/12/2014 11:45:29 AM,0.8,1.7,9,"9km WNW of The Geysers, California",
nc,nc72216651,,05/06/2014 10:39:43 AM,0.88,1.77,12,"1km N of The Geysers, California",
nc,nc72216661,,05/06/2014 10:45:13 AM,1.3,8.18,28,"1km NW of American Canyon, California",
nc,nc72216665,,05/12/2014 11:53:44 AM,0.69,7.35,17,"3km WNW of Orinda, California",
nc,nc72216670,,05/12/2014 12:02:15 PM,0.6,3,9,"8km NW of The Geysers, California",
nc,nc72216671,,05/06/2014 11:22:40 AM,0.3,0.5,10,"4km W of Cobb, California",
nc,nc72216675,,05/12/2014 12:18:23 PM,0.8,1.4,8,"1km NNE of The Geysers, California",
nc,nc72216676,,05/06/2014 11:26:02 AM,1,16.2,21,"11km NW of West Bishop, California",
nc,nc72216681,,05/06/2014 11:38:04 AM,0.5,3.5,10,"6km W of Cobb, California",
nc,nc72216685,,05/12/2014 12:59:07 PM,0.8,2.7,18,"10km WNW of The Geysers, California",
nc,nc72216686,,05/06/2014 11:38:09 AM,0.9,2.7,11,"4km SE of The Geysers, California",
nc,nc72216696,,05/06/2014 12:19:11 PM,0.5,3,12,"6km NW of The Geysers, California",
nc,nc72216700,,05/12/2014 01:06:56 AM,0.9,8.3,28,"23km SE of Mammoth Lakes, California",
nc,nc72216705,,05/12/2014 01:14:55 AM,0.3,5.4,6,"22km SE of Mammoth Lakes, California",
nc,nc72216710,,05/12/2014 01:21:04 AM,0.3,1,5,"2km SW of Cobb, California",
nc,nc72216715,,05/12/2014 01:31:13 AM,0.43,2.65,7,"9km WNW of The Geysers, California",
nc,nc72216716,,05/06/2014 01:18:58 AM,1.9,13.3,47,"3km SW of Stratford, California",
nc,nc72216720,,05/12/2014 01:38:28 AM,0.6,2.6,7,"9km WNW of Cobb, California",
nc,nc72216725,,05/12/2014 01:38:33 AM,0.3,2.6,12,"9km WNW of Cobb, California",
nc,nc72216726,,05/06/2014 02:05:47 AM,0.64,4.22,13,"12km E of Mammoth Lakes, California",
nc,nc72216730,,05/12/2014 01:43:45 AM,0.43,2.44,10,"7km W of Cobb, California",
nc,nc72216731,,05/06/2014 02:28:07 AM,1.4,4,30,"4km SE of Hayward, California",
nc,nc72216736,,05/06/2014 02:26:21 AM,0.2,8.8,13,"2km E of Mammoth Lakes, California",
nc,nc72216741,,05/06/2014 02:34:20 AM,1.13,2.82,18,"2km NW of The Geysers, California",
nc,nc72216745,,05/12/2014 02:36:11 AM,2.8,4.5,80,"9km SE of San Juan Bautista, California",
nc,nc72216751,,05/06/2014 02:38:15 AM,1.3,6.9,22,"2km ESE of Mammoth Lakes, California",
nc,nc72216756,,05/06/2014 03:16:45 AM,0.6,2.5,7,"2km NNE of The Geysers, California",
nc,nc72216761,,05/06/2014 03:54:53 AM,1.2,2.8,42,"7km W of Cobb, California",
nc,nc72216771,,05/06/2014 03:54:45 AM,0.9,3.9,22,"24km S of Mammoth Lakes, California",
nc,nc72216780,,05/12/2014 04:26:58 AM,0.6,7.4,13,"8km E of Mammoth Lakes, California",
nc,nc72216781,,05/06/2014 04:03:18 AM,0.6,6.6,21,"2km ESE of Mammoth Lakes, California",
nc,nc72216786,,05/06/2014 04:01:44 AM,1.6,21,23,"23km NE of Redway, California",
nc,nc72216791,,05/06/2014 04:11:43 AM,0.6,2.4,8,"7km W of Cobb, California",
nc,nc72216805,,05/12/2014 05:19:19 AM,1.9,2.8,58,"3km W of Cobb, California",
nc,nc72216806,,05/06/2014 05:14:58 AM,0.4,7.6,14,"2km ESE of Mammoth Lakes, California",
nc,nc72216810,,05/12/2014 05:20:17 AM,0.5,2.6,8,"3km W of Cobb, California",
nc,nc72216811,,05/06/2014 05:14:13 AM,1.3,5.6,11,"13km WSW of Firebaugh, California",
nc,nc72216820,,05/12/2014 06:09:13 AM,1.2,0,27,"2km SSE of Quarry near Aromas, CA",
nc,nc72216821,,05/06/2014 05:39:41 AM,0.6,2.5,12,"7km WNW of The Geysers, California",
nc,nc72216836,,05/06/2014 06:09:10 AM,0.6,2.3,9,"5km WSW of Mammoth Lakes, California",
nc,nc72216840,,05/12/2014 06:56:58 AM,2.4,4.3,80,"0km NE of The Geysers, California",
nc,nc72216841,,05/06/2014 06:06:45 AM,0.5,5.7,11,"23km SSE of Mammoth Lakes, California",
nc,nc72216845,,05/12/2014 07:19:41 AM,0.88,3.79,17,"6km NW of The Geysers, California",
nc,nc72216866,,05/06/2014 08:04:51 AM,0.96,6.43,4,"4km SE of The Geysers, California",
nc,nc72216871,,05/06/2014 09:31:07 AM,1.4,0.1,8,"18km SSW of Willits, California",
nc,nc72216875,,05/12/2014 08:07:41 AM,1.76,2.36,53,"6km W of Cobb, California",
nc,nc72216876,,05/06/2014 09:29:04 AM,1,4.5,6,"8km S of Chester, California",
nc,nc72216881,,05/06/2014 09:39:50 AM,3.3,2.7,95,"5km NW of The Geysers, California",
nc,nc72216885,,05/12/2014 08:22:41 AM,0.2,2.7,20,"4km WNW of Cobb, California",
nc,nc72216890,,05/12/2014 04:20:10 AM,0.7,5.6,9,"10km NNE of McCloud, California",
nc,nc72216891,,05/06/2014 09:42:11 AM,1.7,2.2,47,"6km NW of The Geysers, California",
nc,nc72216895,,05/12/2014 08:31:43 AM,0.4,2.3,8,"3km NW of Cobb, California",
nc,nc72216896,,05/06/2014 09:41:20 AM,0.3,2.3,9,"5km NW of The Geysers, California",
nc,nc72216900,,05/12/2014 08:35:59 AM,1.2,1.1,44,"2km WNW of Cobb, California",
nc,nc72216901,,05/06/2014 09:41:49 AM,0.8,1,10,"3km WNW of The Geysers, California",
nc,nc72216905,,05/12/2014 08:48:45 AM,0.5,1.1,11,"5km W of Cobb, California",
nc,nc72216906,,05/06/2014 09:43:07 AM,1,3.3,21,"5km NW of The Geysers, California",
nc,nc72216916,,05/06/2014 09:42:29 AM,0.3,1,7,"3km WNW of The Geysers, California",
nc,nc72216921,,05/06/2014 09:43:32 AM,0.7,3.2,21,"6km NW of The Geysers, California",
nc,nc72216926,,05/06/2014 09:43:57 AM,0.9,0.4,10,"2km N of The Geysers, California",
nc,nc72216931,,05/06/2014 09:44:21 AM,1.1,5,8,"4km NW of The Geysers, California",
nc,nc72216956,,05/06/2014 11:19:57 AM,1.34,2.43,49,"5km NW of The Geysers, California",
nc,nc72216976,,05/07/2014 12:15:51 PM,1.4,0,23,"0km NW of Quarry near Vallejo, CA",
nc,nc72216981,,05/07/2014 12:21:35 PM,0.4,2.8,12,"9km WNW of The Geysers, California",
nc,nc72216986,,05/07/2014 12:34:41 PM,0.4,8.7,12,"2km E of Mammoth Lakes, California",
nc,nc72216991,,05/07/2014 12:42:40 PM,0.4,2.7,17,"1km NNW of The Geysers, California",
nc,nc72217016,,05/07/2014 01:33:32 AM,1.1,5.3,14,"15km SSW of Shingletown, California",
nc,nc72217021,,05/07/2014 01:42:08 AM,0.5,2.4,12,"2km NNE of The Geysers, California",
nc,nc72217026,,05/07/2014 01:44:12 AM,1.6,5.9,15,"3km E of Boonville, California",
nc,nc72217031,,05/07/2014 01:52:03 AM,0.6,3.4,7,"4km NW of The Geysers, California",
nc,nc72217041,,05/07/2014 02:12:11 AM,0.8,2.5,15,"7km W of Cobb, California",
nc,nc72217056,,05/07/2014 02:47:36 AM,0.38,1.51,6,"2km WNW of Cobb, California",
nc,nc72217066,,05/07/2014 02:48:06 AM,0.72,0.81,7,"2km W of Cobb, California",
nc,nc72217076,,05/07/2014 02:58:10 AM,0.5,2.5,16,"7km W of Cobb, California",
nc,nc72217081,,05/07/2014 02:55:56 AM,0.2,7.5,12,"14km ESE of Mammoth Lakes, California",
nc,nc72217096,,05/07/2014 03:44:53 AM,1.7,3.3,32,"12km E of Mammoth Lakes, California",
nc,nc72217101,,05/07/2014 03:48:14 AM,0.56,2.3,12,"1km ESE of The Geysers, California",
nc,nc72217106,,05/07/2014 03:54:59 AM,0.38,2.37,9,"1km NNW of The Geysers, California",
nc,nc72217111,,05/07/2014 04:00:42 AM,1.14,2.46,11,"6km SE of The Geysers, California",
nc,nc72217116,,05/07/2014 04:14:45 AM,0.6,7.7,11,"21km NE of Soledad, California",
nc,nc72217131,,05/07/2014 05:10:22 AM,1,2.3,15,"3km W of Cobb, California",
nc,nc72217141,,05/07/2014 05:41:12 AM,1.2,7.3,30,"2km ESE of Mammoth Lakes, California",
nc,nc72217146,,05/07/2014 06:30:33 AM,1.2,1.2,17,"1km ESE of The Geysers, California",
nc,nc72217161,,05/07/2014 08:05:12 AM,1.4,2.9,23,"10km NW of The Geysers, California",
nc,nc72217186,,05/07/2014 08:39:10 AM,0.9,6.8,30,"18km SE of Mammoth Lakes, California",
nc,nc72217191,,05/07/2014 08:46:25 AM,1,2.4,15,"5km ESE of The Geysers, California",
nc,nc72217196,,05/07/2014 08:50:06 AM,0.22,2.06,10,"5km W of Mammoth Lakes, California",
nc,nc72217201,,05/07/2014 08:58:48 AM,0.9,8.3,20,"21km NE of Soledad, California",
nc,nc72217206,,05/07/2014 09:09:01 AM,0.3,1,10,"6km W of Mammoth Lakes, California",
nc,nc72217211,,05/07/2014 09:09:53 AM,0.8,2,16,"6km W of Mammoth Lakes, California",
nc,nc72217226,,05/07/2014 09:22:02 AM,0.5,3.1,9,"8km NW of The Geysers, California",
nc,nc72217231,,05/07/2014 09:24:31 AM,0.27,2.07,11,"6km W of Mammoth Lakes, California",
nc,nc72217236,,05/07/2014 09:27:32 AM,0.2,1.6,11,"5km W of Mammoth Lakes, California",
nc,nc72217241,,05/07/2014 09:27:42 AM,0.62,1.83,17,"5km W of Mammoth Lakes, California",
nc,nc72217246,,05/07/2014 09:27:53 AM,0.6,1.9,11,"5km W of Mammoth Lakes, California",
nc,nc72217251,,05/07/2014 09:31:37 AM,1.9,2.8,43,"8km NW of The Geysers, California",
nc,nc72217256,,05/07/2014 09:51:51 AM,0.2,2,11,"5km W of Mammoth Lakes, California",
nc,nc72217261,,05/07/2014 09:57:15 AM,0.2,1.7,12,"6km W of Mammoth Lakes, California",
nc,nc72217271,,05/07/2014 10:05:19 AM,0.7,2.1,12,"5km W of Mammoth Lakes, California",
nc,nc72217276,,05/07/2014 10:02:55 AM,0.2,1.9,12,"6km W of Mammoth Lakes, California",
nc,nc72217281,,05/07/2014 10:05:40 AM,0.2,1.6,10,"5km W of Mammoth Lakes, California",
nc,nc72217316,,05/07/2014 10:24:52 AM,1.4,2.6,32,"7km W of Cobb, California",
nc,nc72217321,,05/07/2014 10:23:57 AM,0.6,2.1,20,"5km W of Mammoth Lakes, California",
nc,nc72217326,,05/07/2014 10:25:11 AM,0.4,2.8,10,"7km W of Cobb, California",
nc,nc72217331,,05/07/2014 10:33:26 AM,0.2,0.3,11,"6km W of Mammoth Lakes, California",
nc,nc72217336,,05/07/2014 10:36:24 AM,0.2,1.1,11,"5km W of Mammoth Lakes, California",
nc,nc72217341,,05/07/2014 10:37:51 AM,1.7,7.2,14,"14km SW of Westwood, California",
nc,nc72217351,,05/07/2014 10:47:19 AM,0.3,1.6,11,"5km W of Mammoth Lakes, California",
nc,nc72217361,,05/07/2014 11:11:55 AM,1.2,8.6,27,"9km NNE of Milpitas, California",
nc,nc72217366,,05/07/2014 11:28:45 AM,0.99,5.63,10,"12km SSW of Chester, California",
nc,nc72217371,,05/07/2014 11:55:30 AM,0.9,2.7,9,"5km SE of The Geysers, California",
nc,nc72217381,,05/07/2014 12:00:18 PM,1.2,5,45,"8km W of Templeton, California",
